id,name,max_points,is_manual,deadline_at,text
a41c7e9e-b1a0-47f9-ad0b-4995b1d1fc7f,Cut Substrings,15880,True,2022-10-12 19:23,"Sequi beatae omnis reiciendis maiores mollitia totam soluta saepe, fugiat dignissimos rem atque corporis officiis minima consequuntur optio, nemo obcaecati consectetur aut aliquid, expedita sed pariatur architecto. Eligendi sed facere nobis tenetur iusto excepturi voluptate voluptatem similique qui, laboriosam eius pariatur maxime, omnis magni molestiae ab soluta?"
c5bfba99-f354-44ce-93ba-0c4d97872e26,Kirei and the Linear Function,4304,False,2022-12-07 19:23,"Maxime in sunt aliquam aliquid nesciunt perspiciatis eveniet ratione, quasi fugit odit ipsum deserunt perspiciatis impedit, expedita facere odit suscipit ipsam numquam ipsum perferendis, ipsa minus adipisci quaerat minima. Culpa vel possimus eos quibusdam nobis aliquid quisquam alias eveniet dolores, pariatur quisquam labore consequuntur totam minus odio corrupti perspiciatis. Libero cumque laudantium numquam velit rerum iste eligendi soluta rem in officiis, nemo nihil nostrum voluptas aut atque corrupti optio necessitatibus, doloremque distinctio alias eaque expedita quam officiis asperiores?"
6ce218b7-ac9c-4d14-b9c1-74bc1d2e9d67,Guess the Cycle Size,5241,True,2022-12-13 19:23,"Tempore alias doloribus, quidem fuga dignissimos non expedita deserunt deleniti perferendis error, sint laborum animi aut atque tempora quod? Iusto veniam quia quod earum distinctio soluta corporis, cupiditate neque corrupti quis laboriosam unde cum architecto qui reiciendis, autem laudantium qui corrupti, cupiditate ratione sunt iste perspiciatis hic repellat aliquid eaque, repellendus dignissimos blanditiis incidunt rerum?"
78254071-20b9-4d4f-a433-5997646867df,Friends and the Restaurant,6394,False,2022-09-27 19:23,"Repudiandae iusto quae non assumenda, quod aperiam error corporis hic, quas unde perspiciatis cumque architecto. Officiis aut ipsa, quidem doloribus sint ab debitis, fuga consectetur quidem iusto cupiditate consequatur qui eos voluptatem non mollitia, iste amet eligendi incidunt sequi quibusdam, illo iure ratione deleniti labore culpa distinctio voluptas quam? Hic obcaecati suscipit omnis commodi est nam asperiores deserunt, vitae illo itaque, sint ipsa suscipit alias magnam illo?"
8c0d51e0-23fc-49c0-98bf-c3f428431e82,Jumping on Tiles,9220,True,2022-10-12 19:23,"Architecto tenetur harum sint consequuntur ducimus amet quis quibusdam, eum sit facilis impedit sapiente quas non. Doloremque iure optio ut adipisci asperiores perferendis neque cupiditate, dicta corrupti ullam corporis, cumque dolorum praesentium enim nemo molestias adipisci sed consectetur ex sapiente, assumenda dignissimos ratione possimus repellat porro officia beatae laudantium repudiandae nobis laborum, facilis ut quia natus ex magnam aliquam inventore. Expedita autem exercitationem ratione vero, distinctio iusto unde similique, voluptatibus amet dignissimos eum, deserunt possimus facilis maxime velit magnam laboriosam itaque iste. Fugiat asperiores iure placeat optio velit quos possimus consequuntur vero, cum ea fugiat?"
fd656940-99af-4567-81ef-5239ad490c93,Decode String,19088,False,2022-12-24 19:23,"Perferendis voluptatibus molestiae minus velit laboriosam sit repellat beatae adipisci ullam, nobis velit repellat aliquam hic suscipit fugit, praesentium itaque accusantium blanditiis similique aliquam in dicta repudiandae? At exercitationem ut doloremque, natus nulla adipisci vitae, cumque iusto adipisci voluptatibus, quibusdam aut harum commodi?"
c4292f5a-84fa-41b7-ac14-da36683025aa,Two Elevators,4542,True,2022-12-20 19:23,"Dolorem cupiditate natus voluptatem quia cumque perspiciatis, iusto impedit suscipit reprehenderit soluta rem debitis cumque perferendis eius quae, nihil nisi quasi, reprehenderit sit natus, recusandae quibusdam corrupti doloremque id nesciunt incidunt esse adipisci? Maiores beatae possimus, consectetur ullam iste explicabo illum quam eos cum earum perspiciatis sunt, commodi corrupti porro error. Fugit ipsum aut nemo voluptatibus velit, in tempore praesentium iste consequuntur modi maxime perspiciatis, illo dignissimos ullam tempore, nam soluta perferendis atque repudiandae voluptate omnis rerum officia vero aspernatur distinctio, architecto deserunt maxime voluptates autem suscipit esse maiores magnam recusandae laboriosam? Quod praesentium dignissimos iste totam odio, qui cupiditate ad tempora incidunt itaque et, velit quisquam distinctio natus nesciunt consectetur optio harum numquam quibusdam tenetur."
2862867b-870c-48a9-b9c6-cacf1d8adc26,Illumination,14654,True,2022-10-10 19:23,"Nulla vel recusandae nostrum architecto ducimus in laudantium eaque quo voluptatem magnam, nemo neque sint, consequuntur voluptatem cumque porro excepturi cupiditate eum maxime, fuga recusandae sunt placeat consectetur explicabo architecto libero? Sunt nisi neque asperiores tempora, aut modi impedit perferendis delectus, animi aperiam in. Nostrum temporibus neque facere delectus nemo eaque ut quia nisi, quasi nemo molestiae obcaecati beatae totam soluta facere ratione itaque, nam inventore repellendus, repellat molestias maxime fugit temporibus est reprehenderit ea? Quae labore voluptate ex dolores, facilis quibusdam quo voluptatibus ex molestias et nemo aspernatur, voluptates illo quasi neque natus et incidunt quidem praesentium earum, alias non magnam quam similique possimus fuga?"
6b3b208c-2e3e-4b98-99c8-99345112a28f,Fishermen,19141,True,2022-11-07 19:23,"Ratione sint alias magni minima accusantium temporibus ducimus, autem error veritatis laborum ad facilis, autem ipsam eligendi consectetur libero fuga fugit aperiam maiores pariatur, sunt quam molestiae sed facere? Temporibus harum voluptas qui quasi quisquam dolores est ex aperiam voluptatem, maiores ullam quasi, nulla dolorem qui deleniti fuga necessitatibus mollitia quibusdam adipisci et explicabo neque. Maxime quas culpa optio obcaecati quasi sit laudantium, aut necessitatibus vitae, iusto obcaecati sunt in perspiciatis assumenda facilis aspernatur eaque similique aperiam, perferendis nobis sapiente numquam veritatis id labore optio aperiam consequuntur qui magni. Pariatur veritatis quisquam, omnis doloremque nam sint, quam obcaecati in eveniet quia facilis corporis dicta explicabo quasi."
a71314d9-7c60-443e-862d-7a786a41f551,Red-Black Pepper,11368,True,2022-12-24 19:23,"Reprehenderit enim fuga voluptatem sequi ex, perferendis ab nam pariatur suscipit quam vel eligendi vero quasi, eligendi odio eum obcaecati placeat tempora quasi tenetur magni assumenda nemo? Excepturi exercitationem sint voluptates laudantium praesentium doloribus repellendus eum fugiat itaque repudiandae, maxime officiis doloremque dolor? Repellat excepturi error autem, consequatur placeat itaque pariatur? Assumenda tempora culpa neque quidem saepe numquam dolorum minus vitae autem, veritatis totam neque id consectetur fuga debitis recusandae, doloribus ducimus tempora sunt accusantium cupiditate facere quaerat vitae."
